序號,頁籤,位置,問題類型,依據（全國法規資料庫）,原內容摘要,校正後摘要,說明
11,"""依職權""系列",R17C2,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,IV,V,民訴§149項次校正：原IV實為第V項（第II項為抗告規定）
12,"""依職權""系列",R17C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,原告、聲請人、上訴人或抗告人未依第一百三十三條第二項規定指定送達代收人者，受訴法院得依職權，命為公示送達。,【校正｜項次IV→V】駁回前項聲請之裁定，得為抗告。,同步置換為現行條文
13,抗告對照表,R3C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,抗告，應於裁定送達後10日之不變期間內為之。,【校正】提起抗告，應於裁定送達後十日之不變期間內為之。但送達前之抗告，亦有效力。,抗告期間改列現行民訴§487全文
14,抗告對照表,R3C5,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,抗告期間，除有特別規定外，為10日，自送達裁定後起算。,【校正】抗告期間，除有特別規定外，為十日，自送達裁定後起算。但裁定經宣示者，宣示後送達前之抗告，亦有效力。,抗告期間改列現行刑訴§406全文
15,抗告對照表,R5C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,抗告，應向原法院提出抗告狀。,【校正】提起抗告，除別有規定外，應向為裁定之原法院或原審判長所屬法院提出抗告狀為之。 / 適用簡易或小額訴訟程序之事件或關於訴訟救助提起抗告及由證人、鑑定人、通譯或執有證物之第三人提起抗告者，得以言詞為之。但依第四百三十六條之二第一項規定提起抗告者，不在此限。 / 提起抗告，應表明抗告理由。,民訴§488尚規定應表明抗告理由，且簡易/小額等得以言詞抗告；原摘要過簡
16,抗告對照表,R5C5,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,提起抗告，應以書狀敘述理由，提出於原審法院。,【校正】提起抗告，應以抗告書狀，敘述抗告之理由，提出於原審法院為之。,改列現行刑訴§407全文
17,抗告對照表,R7C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,原法院認抗告為有理由者，應更正原裁定。,【校正】原法院或審判長認抗告為有理由者，應撤銷或變更原裁定。,民訴§490 I 用語為「撤銷或變更」而非僅「更正」
18,抗告對照表,R7C5,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,原審法院認為抗告有理由者，應更正其裁定。,【校正】原審法院認為抗告有理由者，應更正其裁定；認為全部或一部無理由者，應於接受抗告書狀後三日內，送交抗告法院，並得添具意見書。,改列現行刑訴§408相關項次
19,保險法絕對強制規定,R3C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,保險人對要保人及被保險人故意不負損害賠償責任,【校正】保險人對於由要保人或被保險人之過失所致之損害，負賠償責任。但出於要保人或被保險人之故意者，不在此限。（保§29 II）,原摘要易誤解為全面不負責任；現行法係排除故意，過失仍賠
20,保險法絕對強制規定,R12C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,保險人免責事由 - 故意自殺,【校正】被保險人故意自殺，或因犯罪行為，所致傷害、失能或死亡，保險人不負給付保險金額之責任。,改列傷害保險章§133現行全文（故意自殺或因犯罪行為）
21,"【民427,行229】簡易程序",R26C1,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,4.因不服行政機關所為告誡、警告、記點、計次、講習、輔導教育或其他相類似的輕微處分而涉訟。,4.因不服行政機關所為告誡、警告、記點、記次、講習、輔導教育或其他相類似的輕微處分而涉訟。,行政訴訟法§229用語為「記次」
22,"【民427,行229】簡易程序",R26C1,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,4.因不服行政機關所為告誡、警告、記點、記次、講習、輔導教育或其他相類似的輕微處分而涉訟。,4.因不服行政機關所為告誡、警告、記點、計次、講習、輔導教育或其他相類的輕微處分而涉訟。,行政訴訟法§229第2項第4款用語為「相類」
—,【403】強制調解事件,全文,核對通過,民訴§403、§406,—,—,十一款強制調解事件與例外事由與現行法一致
—,"【民427,行229】簡易程序",民訴§427部分,核對通過,民訴§427,—,—,十二款簡易事件及合意/改用規定與現行法一致
—,家事事件法第3條,全文,核對通過,家事事件法§3,—,—,甲~戊類列舉與現行法第3條一致
—,憲法與判決,憲判/釋字列,待司法院核對,司法院憲法法庭/大法官解釋,—,—,本表多屬裁判/解釋要旨，非法規條文；本次僅就憲法§9、§23等條文核對，裁判字號內容未逕改
—,ENG,全文,非法規條文,—,—,—,英美法詞彙對照，不適用中華民國法律逐條核對
—,民事,判決/決議列,分類說明,—,—,—,前段「判決/決議+年份+字號」為實務見解索引，非民法條號；後段民法/民訴條文另依體系欄位理解
—,證交法申報義務,財報時限,多屬主管機關規定,證交法及公開發行公司相關規章,—,—,定期財報/營收時限主要來自證交法授權之規章與交易所規則，非單一条文所能涵蓋；本次未整表改寫
—,KYC & CTF,門檻表,多屬子法/辦法,洗錢防制法及相關辦法,—,—,門檻與時效應以各該辦法最新公告為準；本次保留並於報告標註法源層級
—,Index / 領域 >>,—,結構頁,—,—,—,目錄/分隔頁，無實體法條內容
—,"""依職權""系列",§149,已紅字校正（再修）,MOJ,,,修正先前項次對應錯位：II為抗告規定，職權公示送達為III~V，並回填正確項文
—,"""酌定""系列",§561,已紅字校正（再修）,MOJ,,,先前誤取條文，已改回現行§561（持有證券人閱覽證券之酌定期間）
—,"""酌定""系列",§561→§563,已紅字校正,MOJ,持有證券人閱覽證券,民訴§563 I,現行§561為交易所黏貼公告規定；閱覽證券之酌定期間為§563
—,刑事,體系=刑事訴訟列,核對通過,刑事訴訟法,—,—,§156-2、§158-4、§159-1~5、§376 等均屬刑事訴訟法，與現行法相符（非刑法）
—,公司決議事項,證交§43-6,核對通過,證券交易法§43-6,—,—,體系欄已標「證交」，條號存在
—,資料來源,—,—,全國法規資料庫 ChLaw.json；UpdateDate=2026/7/24 上午 12:00:00,—,—,僅以現行有效中華民國法律為準；紅字為本次校正內容
—,刑事,R? 原§156-2,已紅字校正,刑事訴訟法§287-2,156-2（現行不存在）,287-2,共同被告準用人證規定之正確條號為§287-2，非§156-2（§156為自白法則）
